152988,None,UKR,Silver,Cycling Men's Team Pursuit 4000 metres,Cycling,2000 Summer,2000,Summer,Sydney
152992,None,UKR,Gold,Sailing Men's Two Person Dinghy,Sailing,1996 Summer,1996,Summer,Atlanta
152997,None,URS,Bronze,Football Men's Football,Football,1976 Summer,1976,Summer,Montreal
153000,None,HUN,Bronze,Handball Women's Handball,Handball,1996 Summer,1996,Summer,Atlanta
153014,None,GDR,Silver,Handball Women's Handball,Handball,1976 Summer,1976,Summer,Montreal
153015,None,GDR,Bronze,Handball Women's Handball,Handball,1980 Summer,1980,Summer,Moskva
153021,None,USA,Silver,Equestrianism Mixed Jumping Team,Equestrianism,1996 Summer,1996,Summer,Atlanta
153038,None,TCH,Silver,Wrestling Men's Bantamweight Greco-Roman,Wrestling,1928 Summer,1928,Summer,Amsterdam
153040,None,GBR,Gold,Sailing Mixed Open,Sailing,1900 Summer,1900,Summer,Paris
153041,None,GBR,Gold,Sailing Mixed 0.5-1 Ton,Sailing,1900 Summer,1900,Summer,Paris
153050,None,POL,Gold,Shooting Women's Air Rifle 10 metres,Shooting,1996 Summer,1996,Summer,Atlanta
153051,None,POL,Bronze,Shooting Women's Small-Bore Rifle Three Positions 50 metres,Shooting,1996 Summer,1996,Summer,Atlanta
153053,None,POL,Gold,Shooting Women's Small-Bore Rifle Three Positions 50 metres,Shooting,2000 Summer,2000,Summer,Sydney
153056,None,GER,Gold,Athletics Women's Discus Throw,Athletics,1936 Summer,1936,Summer,Berlin
153061,None,GBR,Bronze,Shooting Men's Trap,Shooting,1908 Summer,1908,Summer,London
153062,None,GBR,Gold,Shooting Men's Trap Team,Shooting,1908 Summer,1908,Summer,London
153064,None,GBR,Silver,Shooting Men's Trap Team,Shooting,1912 Summer,1912,Summer,Stockholm
153065,None,CAN,Silver,Rowing Women's Coxed Eights,Rowing,1996 Summer,1996,Summer,Atlanta
153066,None,GDR,Silver,Volleyball Men's Volleyball,Volleyball,1972 Summer,1972,Summer,Munich
153084,None,AUT,Silver,Handball Men's Handball,Handball,1936 Summer,1936,Summer,Berlin
153092,None,USA,Bronze,Wrestling Men's Light-Heavyweight Freestyle,Wrestling,1920 Summer,1920,Summer,Antwerpen
153095,None,FRA,Silver,Tennis Women's Singles,Tennis,2004 Summer,2004,Summer,Athina
153106,None,BRA,Gold,Volleyball Men's Volleyball,Volleyball,1992 Summer,1992,Summer,Barcelona
153109,None,BRA,Gold,Volleyball Men's Volleyball,Volleyball,2004 Summer,2004,Summer,Athina
153112,None,BRA,Silver,Football Women's Football,Football,2008 Summer,2008,Summer,Beijing
153130,None,FRA,Gold,Sailing Mixed One Person Dinghy,Sailing,1972 Summer,1972,Summer,Munich
153136,None,ITA,Bronze,Rowing Men's 17-Man Naval Rowing Boats,Rowing,1906 Summer,1906,Summer,Athina
153144,None,GER,Bronze,Hockey Women's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
153147,None,URS,Bronze,Fencing Men's Sabre Individual,Fencing,1964 Summer,1964,Summer,Tokyo
153148,None,URS,Gold,Fencing Men's Sabre Team,Fencing,1964 Summer,1964,Summer,Tokyo
153150,None,URS,Gold,Fencing Men's Sabre Team,Fencing,1968 Summer,1968,Summer,Mexico City
153223,None,GER,Silver,Football Men's Football,Football,2016 Summer,2016,Summer,Rio de Janeiro
153225,None,AUT,Gold,Equestrianism Mixed Dressage Individual,Equestrianism,1980 Summer,1980,Summer,Moskva
153245,None,USA,Gold,Archery Men's Team Round,Archery,1904 Summer,1904,Summer,St. Louis
153248,None,GBR,Silver,Rowing Men's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
153251,None,USA,Silver,Golf Men's Team,Golf,1904 Summer,1904,Summer,St. Louis
153262,None,USA,Bronze,Rowing Women's Coxless Pairs,Rowing,1992 Summer,1992,Summer,Barcelona
153279,None,ITA,Silver,Athletics Women's Long Jump,Athletics,1996 Summer,1996,Summer,Atlanta
153280,None,ITA,Silver,Athletics Women's Long Jump,Athletics,2000 Summer,2000,Summer,Sydney
153316,None,USA,Gold,Basketball Men's Basketball,Basketball,1976 Summer,1976,Summer,Montreal
153317,None,GER,Gold,Boxing Men's Light-Heavyweight,Boxing,1992 Summer,1992,Summer,Barcelona
153320,None,USA,Silver,Athletics Men's 110 metres Hurdles,Athletics,1960 Summer,1960,Summer,Roma
153322,None,USA,Gold,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,2004 Summer,2004,Summer,Athina
153323,None,USA,Gold,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,2008 Summer,2008,Summer,Beijing
153324,None,USA,Gold,Beach Volleyball Women's Beach Volleyball,Beach Volleyball,2012 Summer,2012,Summer,London
153336,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1956 Winter,1956,Winter,Cortina d'Ampezzo
153337,None,USA,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1960 Winter,1960,Winter,Squaw Valley
153340,None,FRA,Gold,Water Polo Men's Water Polo,Water Polo,1924 Summer,1924,Summer,Paris
153342,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1996 Summer,1996,Summer,Atlanta
153357,None,BRA,Silver,Football Women's Football,Football,2004 Summer,2004,Summer,Athina
153358,None,BRA,Silver,Football Women's Football,Football,2008 Summer,2008,Summer,Beijing
153367,None,USA,Gold,Boxing Men's Middleweight,Boxing,1904 Summer,1904,Summer,St. Louis
153368,None,USA,Silver,Boxing Men's Heavyweight,Boxing,1904 Summer,1904,Summer,St. Louis
153371,None,AUT,Bronze,Alpine Skiing Men's Giant Slalom,Alpine Skiing,1994 Winter,1994,Winter,Lillehammer
153375,None,AUT,Bronze,Alpine Skiing Men's Combined,Alpine Skiing,1998 Winter,1998,Winter,Nagano
153376,None,CAN,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1994 Winter,1994,Winter,Lillehammer
153388,None,USA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1904 Summer,1904,Summer,St. Louis
153391,None,GER,Gold,Fencing Women's Foil Individual,Fencing,1928 Summer,1928,Summer,Amsterdam
153393,None,GER,Silver,Fencing Women's Foil Individual,Fencing,1936 Summer,1936,Summer,Berlin
153394,None,AUT,Silver,Alpine Skiing Men's Super G,Alpine Skiing,1988 Winter,1988,Winter,Calgary
153403,None,FRA,Silver,Athletics Men's Decathlon,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
153411,None,AUT,Gold,Alpine Skiing Men's Downhill,Alpine Skiing,2014 Winter,2014,Winter,Sochi
153415,None,HUN,Gold,Water Polo Men's Water Polo,Water Polo,1956 Summer,1956,Summer,Melbourne
153416,None,HUN,Bronze,Water Polo Men's Water Polo,Water Polo,1960 Summer,1960,Summer,Roma
153417,None,HUN,Gold,Water Polo Men's Water Polo,Water Polo,1964 Summer,1964,Summer,Tokyo
153418,None,HUN,Bronze,Water Polo Men's Water Polo,Water Polo,1968 Summer,1968,Summer,Mexico City
153433,None,USA,Silver,Freestyle Skiing Men's Moguls,Freestyle Skiing,2002 Winter,2002,Winter,Salt Lake City
153437,None,AUS,Gold,Water Polo Women's Water Polo,Water Polo,2000 Summer,2000,Summer,Sydney
153439,None,GER,Gold,Hockey Men's Hockey,Hockey,1992 Summer,1992,Summer,Barcelona
153460,None,RUS,Bronze,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,1998 Winter,1998,Winter,Nagano
153463,None,RUS,Bronze,Biathlon Men's 20 kilometres,Biathlon,2002 Winter,2002,Winter,Salt Lake City
153471,None,USA,Gold,Boxing Men's Light-Heavyweight,Boxing,1988 Summer,1988,Summer,Seoul
153482,None,USA,Bronze,Modern Pentathlon Men's Individual,Modern Pentathlon,1932 Summer,1932,Summer,Los Angeles
153488,None,CUB,Bronze,Athletics Men's 4 x 100 metres Relay,Athletics,2000 Summer,2000,Summer,Sydney
153501,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1964 Winter,1964,Winter,Innsbruck
153502,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1968 Winter,1968,Winter,Grenoble
153503,None,URS,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1964 Winter,1964,Winter,Innsbruck
153504,None,USA,Silver,Tennis Men's Singles,Tennis,1988 Summer,1988,Summer,Seoul
153532,None,AUT,Silver,Sailing Mixed One Person Dinghy,Sailing,1980 Summer,1980,Summer,Moskva
153539,None,USA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1904 Summer,1904,Summer,St. Louis
153541,None,URS,Bronze,Rowing Men's Coxed Eights,Rowing,1980 Summer,1980,Summer,Moskva
153547,None,USA,Bronze,Boxing Men's Featherweight,Boxing,1996 Summer,1996,Summer,Atlanta
153553,None,NED,Silver,Cycling Men's Sprint,Cycling,1928 Summer,1928,Summer,Amsterdam
153557,None,URS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1968 Summer,1968,Summer,Mexico City
153559,None,URS,Bronze,Swimming Men's 4 x 100 metres Medley Relay,Swimming,1968 Summer,1968,Summer,Mexico City
153561,None,URS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
153562,None,URS,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
153571,None,DEN,Bronze,Table Tennis Men's Doubles,Table Tennis,2004 Summer,2004,Summer,Athina
153580,None,SLO,Silver,Alpine Skiing Women's Super G,Alpine Skiing,2010 Winter,2010,Winter,Vancouver
153581,None,SLO,Silver,Alpine Skiing Women's Giant Slalom,Alpine Skiing,2010 Winter,2010,Winter,Vancouver
153584,None,SLO,Gold,Alpine Skiing Women's Downhill,Alpine Skiing,2014 Winter,2014,Winter,Sochi
153586,None,SLO,Gold,Alpine Skiing Women's Giant Slalom,Alpine Skiing,2014 Winter,2014,Winter,Sochi
153589,None,FRA,Bronze,Athletics Women's Discus Throw,Athletics,1948 Summer,1948,Summer,London
153608,None,URS,Gold,Weightlifting Men's Featherweight,Weightlifting,1980 Summer,1980,Summer,Moskva
153610,None,RUS,Bronze,Fencing Women's epee Team,Fencing,1996 Summer,1996,Summer,Atlanta
153612,None,RUS,Gold,Fencing Women's epee Team,Fencing,2000 Summer,2000,Summer,Sydney
153617,None,URS,Silver,Rowing Women's Quadruple Sculls,Rowing,1988 Summer,1988,Summer,Seoul
153618,None,UKR,Silver,Rowing Women's Quadruple Sculls,Rowing,1996 Summer,1996,Summer,Atlanta
153659,None,URS,Silver,Swimming Men's 4 x 100 metres Freestyle Relay,Swimming,1988 Summer,1988,Summer,Seoul
153672,None,TCH,Gold,Football Men's Football,Football,1980 Summer,1980,Summer,Moskva
153694,None,URU,Gold,Football Men's Football,Football,1924 Summer,1924,Summer,Paris
153695,None,URU,Gold,Football Men's Football,Football,1928 Summer,1928,Summer,Amsterdam
153700,None,ITA,Bronze,Gymnastics Men's Individual All-Around,Gymnastics,1912 Summer,1912,Summer,Stockholm
153701,None,ITA,Gold,Gymnastics Men's Team All-Around,Gymnastics,1912 Summer,1912,Summer,Stockholm
153709,None,ARG,Gold,Hockey Men's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
153719,None,ITA,Bronze,Gymnastics Men's Team All-Around,Gymnastics,1906 Summer,1906,Summer,Athina
153722,None,ITA,Bronze,Fencing Men's epee Team,Fencing,1984 Summer,1984,Summer,Los Angeles
153728,None,ITA,Gold,Fencing Men's epee Team,Fencing,1996 Summer,1996,Summer,Atlanta
153730,None,ITA,Gold,Fencing Men's epee Team,Fencing,2000 Summer,2000,Summer,Sydney
153742,None,POL,Silver,Athletics Men's Discus Throw,Athletics,2008 Summer,2008,Summer,Beijing
153744,None,POL,Silver,Athletics Men's Discus Throw,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
153745,None,POL,Bronze,Fencing Men's Sabre Team,Fencing,1928 Summer,1928,Summer,Amsterdam
153758,None,POL,Bronze,Ski Jumping Men's Normal Hill Individual,Ski Jumping,2002 Winter,2002,Winter,Salt Lake City
153759,None,POL,Silver,Ski Jumping Men's Large Hill Individual,Ski Jumping,2002 Winter,2002,Winter,Salt Lake City
153764,None,POL,Silver,Ski Jumping Men's Normal Hill Individual,Ski Jumping,2010 Winter,2010,Winter,Vancouver
153765,None,POL,Silver,Ski Jumping Men's Large Hill Individual,Ski Jumping,2010 Winter,2010,Winter,Vancouver
153771,None,CMR,Gold,Football Men's Football,Football,2000 Summer,2000,Summer,Sydney
153786,None,CMR,Gold,Football Men's Football,Football,2000 Summer,2000,Summer,Sydney
153802,None,CMR,Gold,Athletics Women's Triple Jump,Athletics,2004 Summer,2004,Summer,Athina
153803,None,CMR,Gold,Athletics Women's Triple Jump,Athletics,2008 Summer,2008,Summer,Beijing
153827,None,KEN,Bronze,Boxing Men's Lightweight,Boxing,1972 Summer,1972,Summer,Munich
153844,None,NZL,Silver,Rugby Sevens Women's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
153852,None,RSA,Gold,Athletics Men's Marathon,Athletics,1912 Summer,1912,Summer,Stockholm
153853,None,ANZ,Gold,Rugby Men's Rugby,Rugby,1908 Summer,1908,Summer,London
153864,None,CAN,Gold,Rowing Women's Coxless Pairs,Rowing,1992 Summer,1992,Summer,Barcelona
153865,None,CAN,Gold,Rowing Women's Coxed Eights,Rowing,1992 Summer,1992,Summer,Barcelona
153866,None,CAN,Gold,Rowing Women's Double Sculls,Rowing,1996 Summer,1996,Summer,Atlanta
153867,None,CAN,Bronze,Rowing Women's Quadruple Sculls,Rowing,1996 Summer,1996,Summer,Atlanta
153872,None,USA,Bronze,Swimming Men's 400 metres Freestyle,Swimming,1972 Summer,1972,Summer,Munich
153873,None,USA,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1972 Summer,1972,Summer,Munich
153879,None,AUS,Bronze,Hockey Men's Hockey,Hockey,1964 Summer,1964,Summer,Tokyo
153881,None,ANZ,Gold,Rugby Men's Rugby,Rugby,1908 Summer,1908,Summer,London
153883,None,CAN,Silver,Rowing Men's Coxed Eights,Rowing,2012 Summer,2012,Summer,London
153885,None,USA,Gold,Basketball Men's Basketball,Basketball,1952 Summer,1952,Summer,Helsinki
153903,None,CAN,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1924 Winter,1924,Winter,Chamonix
153907,None,USA,Gold,Basketball Men's Basketball,Basketball,1964 Summer,1964,Summer,Tokyo
153925,None,CAN,Bronze,Figure Skating Mixed Ice Dancing,Figure Skating,1988 Winter,1988,Winter,Calgary
153929,None,GBR,Gold,Hockey Women's Hockey,Hockey,2016 Summer,2016,Summer,Rio de Janeiro
153930,None,USA,Bronze,Water Polo Men's Water Polo,Water Polo,1932 Summer,1932,Summer,Los Angeles
153946,None,GBR,Silver,Polo Men's Polo,Polo,1908 Summer,1908,Summer,London
153955,None,AUS,Gold,Hockey Men's Hockey,Hockey,2004 Summer,2004,Summer,Athina
153957,None,USA,Gold,Wrestling Men's Bantamweight Freestyle,Wrestling,1960 Summer,1960,Summer,Roma
153967,None,AUS,Bronze,Cycling Men's Team Pursuit 4000 metres,Cycling,1988 Summer,1988,Summer,Seoul
153969,None,USA,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1960 Winter,1960,Winter,Squaw Valley
153979,None,CAN,Bronze,Cycling Men's Team Pursuit 1980 yards,Cycling,1908 Summer,1908,Summer,London
153984,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1924 Winter,1924,Winter,Chamonix
153993,None,USA,Bronze,Rowing Women's Coxed Eights,Rowing,1976 Summer,1976,Summer,Montreal
153994,None,NZL,Bronze,Athletics Women's Pole Vault,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
154000,None,USA,Bronze,Equestrianism Men's Jumping Team,Equestrianism,1952 Summer,1952,Summer,Helsinki
154005,None,USA,Gold,Basketball Women's Basketball,Basketball,1988 Summer,1988,Summer,Seoul
154006,None,USA,Bronze,Basketball Women's Basketball,Basketball,1992 Summer,1992,Summer,Barcelona
154007,None,USA,Gold,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
154013,None,USA,Gold,Ice Hockey Men's Ice Hockey,Ice Hockey,1980 Winter,1980,Winter,Lake Placid
154016,None,GBR,Bronze,Swimming Men's 4 x 200 metres Freestyle Relay,Swimming,1976 Summer,1976,Summer,Montreal
154035,None,AUS,Gold,Swimming Women's 100 metres Butterfly,Swimming,1968 Summer,1968,Summer,Mexico City
154037,None,AUS,Silver,Swimming Women's 4 x 100 metres Medley Relay,Swimming,1968 Summer,1968,Summer,Mexico City
154043,None,USA,Silver,Gymnastics Men's Team All-Around,Gymnastics,2004 Summer,2004,Summer,Athina
154050,None,CAN,Silver,Rowing Men's Coxed Eights,Rowing,1956 Summer,1956,Summer,Melbourne
154054,None,USA,Gold,Boxing Men's Light-Middleweight,Boxing,1960 Summer,1960,Summer,Roma
154058,None,USA,Bronze,Athletics Men's 3000 metres Steeplechase,Athletics,1932 Summer,1932,Summer,Los Angeles
154063,None,GBR,Silver,Athletics Women's 10000 metres,Athletics,1988 Summer,1988,Summer,Seoul
154077,None,GBR,Bronze,Hockey Men's Hockey,Hockey,1984 Summer,1984,Summer,Los Angeles
154090,None,USA,Gold,Basketball Women's Basketball,Basketball,1988 Summer,1988,Summer,Seoul
154091,None,USA,Bronze,Basketball Women's Basketball,Basketball,1992 Summer,1992,Summer,Barcelona
154098,None,GBR,Silver,Rugby Sevens Men's Rugby Sevens,Rugby Sevens,2016 Summer,2016,Summer,Rio de Janeiro
154101,None,USA,Silver,Gymnastics Women's Team All-Around,Gymnastics,2004 Summer,2004,Summer,Athina
154112,None,AUS,Bronze,Water Polo Women's Water Polo,Water Polo,2008 Summer,2008,Summer,Beijing
154113,None,AUS,Bronze,Water Polo Women's Water Polo,Water Polo,2012 Summer,2012,Summer,London
154116,None,GBR,Bronze,Boxing Men's Light-Middleweight,Boxing,1956 Summer,1956,Summer,Melbourne
154118,None,CAN,Silver,Ice Hockey Women's Ice Hockey,Ice Hockey,1998 Winter,1998,Winter,Nagano
154123,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1920 Summer,1920,Summer,Antwerpen
154124,None,USA,Silver,Diving Women's Springboard,Diving,1984 Summer,1984,Summer,Los Angeles
154125,None,USA,Bronze,Diving Women's Springboard,Diving,1988 Summer,1988,Summer,Seoul
154126,None,USA,Silver,Ice Hockey Men's Ice Hockey,Ice Hockey,1920 Summer,1920,Summer,Antwerpen
154129,None,USA,Gold,Diving Women's Springboard,Diving,1952 Summer,1952,Summer,Helsinki
154130,None,USA,Gold,Diving Women's Platform,Diving,1952 Summer,1952,Summer,Helsinki
154131,None,USA,Gold,Diving Women's Springboard,Diving,1956 Summer,1956,Summer,Melbourne
154132,None,USA,Gold,Diving Women's Platform,Diving,1956 Summer,1956,Summer,Melbourne
154136,None,USA,Gold,Athletics Women's 4 x 400 metres Relay,Athletics,2012 Summer,2012,Summer,London
154137,None,USA,Gold,Athletics Women's 4 x 400 metres Relay,Athletics,2016 Summer,2016,Summer,Rio de Janeiro
154140,None,GBR,Silver,Athletics Men's 4 x 100 metres Relay,Athletics,1948 Summer,1948,Summer,London
154143,None,USA,Gold,Basketball Women's Basketball,Basketball,2012 Summer,2012,Summer,London
154144,None,USA,Gold,Basketball Women's Basketball,Basketball,2016 Summer,2016,Summer,Rio de Janeiro
154145,None,IRL,Bronze,Boxing Men's Lightweight,Boxing,1964 Summer,1964,Summer,Tokyo
154164,None,USA,Gold,Athletics Men's 4 x 400 metres Relay,Athletics,1984 Summer,1984,Summer,Los Angeles
154165,None,USA,Silver,Athletics Men's Shot Put,Athletics,1900 Summer,1900,Summer,Paris
154167,None,USA,Bronze,Athletics Men's Hammer Throw,Athletics,1900 Summer,1900,Summer,Paris
154168,None,USA,Gold,Basketball Women's Basketball,Basketball,1996 Summer,1996,Summer,Atlanta
154169,None,USA,Gold,Basketball Women's Basketball,Basketball,2000 Summer,2000,Summer,Sydney
154186,None,USA,Silver,Polo Men's Polo,Polo,1900 Summer,1900,Summer,Paris
154188,None,USA,Bronze,Diving Men's Synchronized Platform,Diving,2012 Summer,2012,Summer,London
154189,None,USA,Gold,Boxing Men's Flyweight,Boxing,1984 Summer,1984,Summer,Los Angeles
154192,None,ANZ,Gold,Rugby Men's Rugby,Rugby,1908 Summer,1908,Summer,London
154194,None,GBR,Silver,Rowing Men's Single Sculls,Rowing,1908 Summer,1908,Summer,London
154195,None,AUS,Bronze,Cycling Women's Team Sprint,Cycling,2012 Summer,2012,Summer,London
154203,None,IRL,Silver,Boxing Men's Bantamweight,Boxing,1992 Summer,1992,Summer,Barcelona
154207,None,CAN,Gold,Curling Women's Curling,Curling,1998 Winter,1998,Winter,Nagano
154213,None,USA,Gold,Athletics Women's High Jump,Athletics,1956 Summer,1956,Summer,Melbourne
154214,None,CAN,Silver,Rowing Women's Coxed Eights,Rowing,1996 Summer,1996,Summer,Atlanta
154215,None,CAN,Bronze,Rowing Women's Coxed Eights,Rowing,2000 Summer,2000,Summer,Sydney
154216,None,AUS,Bronze,Softball Women's Softball,Softball,1996 Summer,1996,Summer,Atlanta
154217,None,AUS,Bronze,Softball Women's Softball,Softball,2000 Summer,2000,Summer,Sydney
154219,None,USA,Silver,Speed Skating Men's 500 metres,Speed Skating,1952 Winter,1952,Winter,Oslo
154239,None,USA,Gold,Speed Skating Men's 500 metres,Speed Skating,1964 Winter,1964,Winter,Innsbruck
154240,None,USA,Silver,Speed Skating Men's 500 metres,Speed Skating,1968 Winter,1968,Winter,Grenoble
154260,None,JAM,Bronze,Athletics Women's 200 metres,Athletics,2000 Summer,2000,Summer,Sydney
154261,None,JAM,Silver,Athletics Women's 4 x 100 metres Relay,Athletics,2000 Summer,2000,Summer,Sydney
154263,None,JAM,Gold,Athletics Women's 4 x 100 metres Relay,Athletics,2004 Summer,2004,Summer,Athina
154273,None,CAN,Silver,Wrestling Men's Welterweight Freestyle,Wrestling,1932 Summer,1932,Summer,Los Angeles
154275,None,USA,Bronze,Equestrianism Mixed Dressage Team,Equestrianism,2004 Summer,2004,Summer,Athina
154278,None,CAN,Silver,Rowing Men's Coxed Eights,Rowing,1956 Summer,1956,Summer,Melbourne
